1,2024-04-20,2024-05-01,RESUELTO,3,90,18,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec
2,2024-04-22,2024-04-28,ENPROCESO,3,26,24,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam
3,2024-04-23,2024-05-01,ABIERTO,1,23,11,phasellus sit amet erat nulla
4,2024-04-20,2024-04-28,ABIERTO,2,48,19,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris
5,2024-04-19,2024-04-28,RESUELTO,1,61,9,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie
6,2024-04-25,2024-04-30,ABIERTO,3,5,21,amet justo morbi ut odio cras mi pede malesuada in imperdiet
7,2024-04-09,2024-04-28,ENPROCESO,1,68,17,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
8,2024-04-26,2024-04-30,ABIERTO,2,90,4,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci
9,2024-04-18,2024-04-30,RESUELTO,3,44,23,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
10,2024-04-11,2024-04-29,RESUELTO,1,20,19,tincidunt in leo maecenas pulvinar lobortis est phasellus
11,2024-04-25,2024-04-28,ENPROCESO,3,47,14,vel est donec odio justo sollicitudin ut suscipit a feugiat
12,2024-04-25,2024-04-28,RESUELTO,3,87,17,mollis molestie lorem quisque ut erat curabitur gravida nisi
13,2024-04-21,2024-05-01,RESUELTO,2,69,1,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna
14,2024-04-25,2024-05-01,ABIERTO,1,68,10,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
15,2024-04-24,2024-04-30,ABIERTO,3,35,8,ipsum praesent blandit lacinia erat vestibulum
16,2024-04-05,2024-05-01,RESUELTO,2,10,25,blandit mi in porttitor pede justo eu massa donec dapibus duis at
17,2024-04-23,2024-04-29,RESUELTO,1,76,4,eget rutrum at lorem integer tincidunt ante vel ipsum praesent
18,2024-04-26,2024-04-30,ENPROCESO,1,66,15,id justo sit amet sapien dignissim vestibulum vestibulum
19,2024-04-19,2024-04-28,ABIERTO,3,8,21,amet eros suspendisse accumsan tortor quis
20,2024-04-25,2024-04-28,RESUELTO,3,84,22,elit ac nulla sed vel enim
21,2024-04-09,2024-04-29,RESUELTO,1,93,21,donec vitae nisi nam ultrices libero non
22,2024-04-23,2024-04-30,ABIERTO,3,73,12,amet eros suspendisse accumsan tortor quis
23,2024-04-05,2024-04-30,ABIERTO,2,60,6,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat
24,2024-04-19,2024-04-28,ABIERTO,3,97,15,id massa id nisl venenatis lacinia
25,2024-04-22,2024-04-30,ENPROCESO,3,92,2,elit proin risus praesent lectus
26,2024-04-17,2024-05-01,RESUELTO,3,43,17,lobortis sapien sapien non mi integer ac neque duis bibendum
27,2024-04-04,2024-04-28,ABIERTO,2,22,10,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
28,2024-04-16,2024-05-01,ENPROCESO,2,57,10,malesuada in imperdiet et commodo vulputate justo in blandit ultrices
29,2024-04-11,2024-04-28,RESUELTO,2,15,14,eu massa donec dapibus duis
30,2024-04-21,2024-05-01,RESUELTO,3,49,8,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue
31,2024-04-22,2024-04-29,RESUELTO,1,95,7,non velit donec diam neque vestibulum eget vulputate
32,2024-04-13,2024-04-28,ENPROCESO,3,45,21,in magna bibendum imperdiet nullam orci
33,2024-04-05,2024-04-28,ABIERTO,2,92,6,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
34,2024-04-18,2024-04-29,RESUELTO,2,20,22,non quam nec dui luctus
35,2024-04-13,2024-05-01,ABIERTO,1,7,18,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
36,2024-04-17,2024-04-30,ENPROCESO,1,14,3,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit
37,2024-04-12,2024-04-28,ENPROCESO,2,68,11,pellentesque ultrices mattis odio donec vitae nisi nam ultrices
38,2024-04-08,2024-04-29,ABIERTO,1,74,6,massa id nisl venenatis lacinia aenean sit
39,2024-04-18,2024-05-01,ABIERTO,1,96,12,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
40,2024-04-26,2024-04-29,ENPROCESO,1,93,8,condimentum neque sapien placerat ante nulla
41,2024-04-14,2024-04-28,ABIERTO,2,94,2,donec dapibus duis at velit eu est congue elementum in hac
42,2024-04-17,2024-04-29,ABIERTO,3,6,25,massa tempor convallis nulla neque
43,2024-04-09,2024-05-01,ENPROCESO,2,50,7,posuere cubilia curae nulla dapibus dolor vel est donec
44,2024-04-26,2024-04-28,ENPROCESO,2,79,13,massa tempor convallis nulla neque libero convallis eget eleifend
